"elev" "smi" "dbh" "tht" "cr" "ba" "dg" "hg"
"1" 3493 4.8 0.4 5.5 2 77.7 0.1 0.6
"2" 3493 4.8 1.8 12.7 4 77.7 0.5 6.6
"3" 3493 4.8 1.5 9.8 5 77.7 0.2 3.5
"4" 3493 4.8 1.5 10 4 77.7 0.2 2
"5" 3493 4.8 1.7 9.9 5 77.7 0.5 3.8
"6" 3493 4.8 2.9 12.2 6 77.7 0.2 3.1
"7" 3493 4.8 6 25.3 7 77.7 0.8 6.7
"8" 3493 4.8 6.7 24.9 7 77.7 1.3 7.1
"9" 3493 4.8 5.1 25.5 6 77.7 1.1 6.4
"10" 3493 4.8 2.4 13.2 5 77.7 0.5 4
"11" 3493 4.8 5 22.2 6 77.7 1.1 8.7
"12" 3493 4.8 4.3 21.5 6 77.7 0.9 7.1
"13" 3493 4.8 3 16.6 6 77.7 0.5 6.1
"14" 3493 4.8 0.9 7.2 5 77.7 0.2 2.1
"15" 3493 4.8 2.8 12.7 6 77.7 0.6 5.7
"16" 3493 4.8 1.9 11.4 5 77.7 0.3 4
"17" 3493 4.8 3.8 16.8 6 77.7 0.4 4.1
"18" 3493 4.8 2.3 15.2 5 77.7 0.1 4.1
"19" 3493 4.8 3 13.6 5 77.7 0.7 4.8
"20" 3493 4.8 1.6 12.4 3 77.7 0.1 3.4
"21" 3493 4.8 1.9 13.3 5 77.7 0.1 3.9
"22" 3493 4.8 2.1 11.8 5 73.2 0.5 3.9
"23" 3493 4.8 3.5 17.1 6 73.2 0.7 4.7
"24" 3493 4.8 1.5 9.7 4 73.2 0.5 4
"25" 3493 4.8 2.9 13.8 6 73.2 0.9 7
"26" 3493 4.8 0.5 6.2 3 73.2 0.3 2.5
"27" 3493 4.8 1.6 10.1 4 73.2 0.3 4.5
"28" 3493 4.8 7 26.8 7 73.2 1.2 5.1
"29" 3493 4.8 1.7 10.6 4 73.2 0.1 3.6
"30" 3493 4.8 4.4 20.3 5 73.2 0.8 5.8
"31" 3493 4.8 3 14.4 6 73.2 0.3 4.6
"32" 3493 4.8 5 20.3 6 73.2 0.9 5.5
"33" 3493 4.8 4 20.3 6 73.2 0.7 6.8
"34" 3493 4.8 4.4 22 6 73.2 0.7 7
"35" 3493 4.8 2.1 14.6 4 73.2 0.1 3.6
"36" 3493 4.8 4.6 24 5 73.2 1 7
"37" 3493 4.8 6 21.4 7 73.2 1 6.3
"38" 3493 4.8 2.1 12 6 73.2 0.3 4.1
"39" 3493 4.8 2.8 15.2 5 73.2 0.7 5.1
"40" 3493 4.8 2.6 13.6 6 73.2 0.4 3.7
"41" 3493 4.8 5.6 24.3 7 73.2 1.1 6.2
"42" 3493 4.8 6.3 24.9 8 73.2 1.5 7.2
"43" 3493 4.8 1.4 8 5 73.2 0.4 2.7
"44" 3493 4.8 2.5 14.1 5 73.2 0.6 6
"45" 3493 4.8 1.4 9.8 4 73.2 0.5 3.6
"46" 3493 4.8 2.2 11.6 5 73.2 0.7 3.7
"47" 3493 4.8 1.8 10 3 73.2 0.5 4.5
"48" 3493 4.8 6.9 24.8 8 61 1.2 6.6
"49" 3493 4.8 4.5 19.8 7 61 1.2 6.7
"50" 3493 4.8 4.7 19 8 61 1.2 7.3
"51" 3493 4.8 0.9 7.5 4 61 0.2 1.7
"52" 3493 4.8 6.7 26.2 7 61 1.6 7
"53" 3493 4.8 4.4 20.4 7 61 1 7.3
"54" 3493 4.8 2.9 14.5 6 61 0.8 6.8
"55" 3493 4.8 4.2 17.9 8 61 0.8 4.6
"56" 3493 4.8 3 19.3 5 61 0.5 4.8
"57" 3493 4.8 1.8 11.4 4 61 0.2 2.9
"58" 3493 4.8 3.5 16.8 6 61 0.5 5.8
"59" 3493 4.8 4.8 23.4 6 61 1 5.1
"60" 3493 4.8 1.3 10.4 4 61 0.1 1.8
"61" 3493 4.8 3.2 15.2 6 61 0.6 5.3
"62" 3493 4.8 4.9 20.7 7 61 1 6.7
"63" 3493 4.8 5.5 25.9 7 61 1 6.7
"64" 3493 4.8 4.6 21.2 6 61 0.7 7.2
"65" 3493 4.8 2.6 13.6 6 61 0.4 4.8
"66" 3493 4.8 5 21 8 61 1.2 6.2
"67" 3493 4.8 3.3 14.4 6 61 0.2 5.1
"68" 3493 4.8 2.7 11.9 5 61 0.4 3.8
"69" 3493 4.8 2.9 13.9 6 61 0.9 5
"70" 3493 4.8 6.6 28 8 61 1.1 6.7
"71" 3493 4.8 5.7 24.4 8 61 1.5 7.9
"72" 3493 4.8 6.8 25.9 7 61 1.3 5.9
"73" 3493 4.8 6.4 24.1 8 61 1.5 5.6
"74" 3493 4.8 6.5 22.3 6 61 1.5 4.9
"75" 3493 4.8 3.5 17.5 7 61 1.1 6.1
"76" 3493 4.8 4 18.7 7 61 0.4 3.7
"77" 3493 4.8 2.5 12.8 5 44.3 1.3 6
"78" 3493 4.8 2.2 13.2 4 44.3 0.4 4.1
"79" 3493 4.8 2.5 13.6 5 44.3 0.2 2.9
"80" 3493 4.8 4.9 21.4 5 44.3 1.3 5.3
"81" 3493 4.8 7.2 25.6 6 44.3 1.2 6.2
"82" 3493 4.8 1.9 12 5 44.3 0.1 2.8
"83" 3493 4.8 3.5 18.5 5 44.3 0.5 4.7
"84" 3493 4.8 5.3 22.8 7 44.3 0.7 5.1
"85" 3493 4.8 2.2 13.4 6 44.3 0.6 4.6
"86" 3493 4.8 6.6 28.7 6 44.3 1 7.2
"87" 3493 4.8 4.9 24.7 7 44.3 0.9 5.6
"88" 3493 4.8 1.1 8.2 4 44.3 0.8 4.3
"89" 3493 4.8 3 14.6 6 44.3 0.9 4.2
"90" 3493 4.8 0.6 5.7 3 44.3 0.7 3.6
"91" 3493 4.8 6.3 24.6 7 44.3 1.6 5.8
"92" 3493 4.8 4.7 22.8 7 44.3 0.6 1.9
"93" 3493 4.8 4.3 21.3 5 44.3 0.6 5.3
"94" 3493 4.8 6.5 24.7 6 44.3 1.6 8.8
"95" 3493 4.8 2 11.5 5 44.3 0.3 3.9
"96" 3493 4.8 5.4 22.3 7 44.3 1.4 7.9
"97" 3493 4.8 5.1 25.1 7 44.3 1.5 3.8
"98" 3493 4.8 1.2 8.8 3 44.3 0.1 2.2
"99" 3493 4.8 4.1 18.9 6 44.3 0.8 3.8
"100" 3493 4.8 4.9 17.8 7 44.3 1.2 7.5
"101" 3493 4.8 4.4 17.5 6 44.3 0.4 3.7
"102" 3493 4.8 2 12.2 3 44.3 0.9 3.8
"103" 3493 4.8 2.5 14.2 4 44.3 1.2 6.9
