"bd" "ht" "hg" "dg" "whc" "cr" "bainlh"
"1" 0.75 2.35 1.7499999046326 0.51999998092651 5.7 0.78 3.28
"2" 0.589999973773956 2.74 1.6099999046326 0.22000002861023 5.7 0.56 2.72
"3" 0.870000004768372 3.53 2.1699998092651 0.41999995708466 5.7 0.83 0.37
"4" 0.730000019073486 4.03 2.1699998092651 0.66999995708466 5.7 0.87 0.07
"5" 1.23000001907349 5.94 0.75999980926514 0.069999933242798 7.26 0.84 135.38
"6" 1.29999995231628 6.05 1.95 0.5200001001358 7.26 0.91 134.45
"7" 1.0900000333786 4.69 2.2100000953674 0.6599999666214 7.26 0.85 136.2
"8" 1.07000005245209 4.55 1.2500001907349 0.5 7.26 0.86 133.99
"9" 0.899999976158142 3.65 0.46999988555908 0.27999997138977 7.26 0.75 134.61
"10" 1.1599999666214 5.25 1.75 0.36000001430511 7.26 0.82 55.09
"11" 0.5 2.4 0.6 0.12000000476837 7.26 0.54 56.49
"12" 0.6700000166893 2.79 1.4700002288818 0.27999997138977 7.26 0.89 56.24
"13" 1 4.5 1.75 0.75 7.26 0.77 37.18
"14" 0.649999976158142 2.57 2.2300001907349 0.35000002384186 7.26 0.74 38.69
"15" 3.95000004768372 16.5 6.1000003814697 2.3500001430511 11.25 0.96 0
"16" 3.90000009536743 12.19 6.6099992370605 1.9000000953674 11.25 0.96 18.59
"17" 2.30999994277954 8.89 3.9100001907349 1.6400001049042 11.25 0.96 39.69
"18" 0.649999976158142 3.83 1.0700000953674 0.25 9.2 0.68 46.38
"19" 0.360000014305115 2.3 1.2 0.19999998807907 9.2 0.69 59.87
"20" 1.00999999046326 3.9 2.9000001907349 0.62999999523163 9.18 0.92 0
"21" 1.75999999046326 8.53 2.8699996185303 1.0199999809265 7.91 0.88 132.63
"22" 2.94000005722046 13.5 4.2000007629395 1.2599997520447 7.91 0.94 115.68
"23" 0.430000007152557 2.79 1.0099999523163 0.18000000715256 7.91 0.71 138.14
"24" 4.55000019073486 18.79 3.21 0.84999990463257 7.91 0.96 98.87
"25" 6 22.5 6.1000003814697 1.0999999046326 7.91 0.97 17.72
"26" 3.90000009536743 19.39 1.61 1 7.91 0.97 37.35
"27" 5.69999980926514 23.1 5.5000003814697 1.2000002861023 7.91 0.96 0
"28" 4.48000001907349 19.39 6.4099992370605 1.1199998855591 7.91 0.97 37.35
"29" 4.40000009536743 20.1 5.7999996185303 1.4000000953674 7.91 0.98 13.09
"30" 4.90000009536743 21.2 5.1999996185303 1.4000000953674 7.91 0.98 0
"31" 3.59999990463257 14.89 4.61 1 7.91 0.98 29.95
"32" 3.40000009536743 17.5 5 0.90000009536743 7.91 0.95 23.65
"33" 2.11999988555908 7.69 1.0099998092651 0.59000015258789 9.5 0.9 0
"34" 3 11.19 4.0099998092651 1.1999998092651 9.5 0.94 31.42
"35" 2.47000002861023 8.5 2.1000003814697 0.77999997138977 9.5 0.92 0
"36" 2.24000000953674 8 2.3999996185303 0.71000003814697 9.5 0.92 3.32
"37" 0.77999997138977 4 1.1999998092651 0.38999998569489 3.15 0.87 24.68
"38" 1.96000003814697 7.5 3.1999998092651 0.72000002861023 3.15 0.94 21.24
"39" 3.22000002861023 9.97 2.9299996185303 0.33999991416931 3.15 0.9 0
"40" 1.64999997615814 7.98 3.02 1.6200000047684 3.15 0.93 7.81
"41" 1.25999999046326 3.59 1.2100001907349 0.47000002861023 3.15 0.86 11.98
"42" 1.99000000953674 9.23 2.0700001907349 0.82999992370605 3.15 0.91 5.65
"43" 2.28999996185303 10.23 2.5700001907349 0.62000012397766 6.69 0.93 0
"44" 3.17000007629395 17.5 5.1000003814697 1.0299997329712 6.71 0.89 0
"45" 3.13000011444092 13.69 4.31 1.1700000762939 6.71 0.72 21.41
"46" 3.5 17.2 5.4000003814697 1.6999998092651 6.71 0.9 5.48
"47" 1.83000004291534 8.89 3.11 0.70999991893768 6.71 0.79 13.4
"48" 2.3199999332428 9.6 3.0999998092651 0.9300000667572 6.71 0.84 10.47
"49" 1.0900000333786 4.19 1.5700002288818 0.39999997615814 6.71 0.83 22.35
"50" 1.83000004291534 8.39 1.61 0.37000000476837 6.71 0.78 15.23
"51" 11 28.45 5.7500007629395 1.8999996185303 6.2 0.86 37.74
"52" 0.870000004768372 2.98 2.02 0.83000004291534 8.51 0.56 4.48
"53" 2.52999997138977 7.9 4.9000001907349 1.7700002193451 8.51 0.92 0
"54" 0.5 2.24 1.3599999046326 0.19999998807907 6.4 0.68 13.3
"55" 1.41999995708466 4.69 2.1100001907349 0.66999995708466 6.4 0.76 6.18
"56" 0.649999976158142 2.59 1.7399999237061 0.15000003576279 6.4 0.73 11.78
"57" 0.419999986886978 2.5 1.0599999427795 0.20000001788139 6.4 0.68 12.85
"58" 1.05999994277954 3.88 2.7199999046326 0.54000008106232 6.4 0.79 42.1
"59" 0.959999978542328 4.3 1.2 0.56999999284744 7.84 0.69 6.02
"60" 0.660000026226044 3.33 1.4700001907349 0.56999999284744 7.84 0.79 8.13
"61" 1.77999997138977 6.59 4.0100003814697 0.95000004768372 6.13 0.83 10.99
"62" 2.86999988555908 10.1 4.0000003814697 1.8299999237061 6.13 0.94 0
"63" 1.24000000953674 4.57 2.2300001907349 0.76999998092651 3.59 0.82 5.19
"64" 1.37000000476837 4.88 0.42000019073486 0.67999994754791 3.59 0.75 2.83
